branch,host,compiler,c_version,mpi,m_version,o_g,os,netcdf_c,netcdf_f,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,acorn,gfortran,10.3.0,mpich3,8.1.7,O,Linux,4.7.4,4.5.3,fail,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/78f1afd5ffa13e304e99795c1cb3121fb492568a/develop/acorn/gfortran/10.3.0/O/mpich3/8.1.7),2022-03-09 15:43:30.707923
develop,acorn,gfortran,10.3.0,mpich3,8.1.7,g,Linux,4.7.4,4.5.3,fail,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/7129810731714dfd62e3a2050af51efedf723c37/develop/acorn/gfortran/10.3.0/g/mpich3/8.1.7),2022-03-09 15:43:30.707795
develop,acorn,intel,2019.3,mpi,8.1.7,O,Linux,4.7.4,4.5.3,fail,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/37d001e59f489246e87e4adde8109d783708e90c/develop/acorn/intel/2019.3/O/mpi/8.1.7),2022-03-09 15:43:30.707911
develop,acorn,intel,2019.3,mpi,8.1.7,g,Linux,4.7.4,4.5.3,fail,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/159fcf9b83c64b2ca9144b5610dbcb5419e6885e/develop/acorn/intel/2019.3/g/mpi/8.1.7),2022-03-09 15:43:30.707891
develop,cheyenne,intel,18.0.5,intelmpi,2018.4.274,O,Linux,4.6.3,4.4.4,fail,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/05d03f385f00f93ae80b7eac9acc38fd389e3a34/develop/cheyenne/intel/18.0.5/O/intelmpi/2018.4.274),2022-03-09 15:43:33.664459
develop,cheyenne,intel,18.0.5,intelmpi,2018.4.274,g,Linux,4.6.3,4.4.4,fail,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/88f9efe76442ec9d4e9b302acc2258ec3e211a85/develop/cheyenne/intel/18.0.5/g/intelmpi/2018.4.274),2022-03-09 15:43:33.664457
develop,cheyenne,intel,18.0.5,mpiuni,none,O,Linux,4.8.1,4.5.3,fail,12158,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/824a51fc34576cee82e9a016210f9ac6a4700680/develop/cheyenne/intel/18.0.5/O/mpiuni/none),2022-03-09 15:43:33.664449
develop,cheyenne,intel,18.0.5,mpiuni,none,g,Linux,4.8.1,4.5.3,fail,12158,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/eb4f112709dee19c4e8cf879ee4b49c00f0f3c36/develop/cheyenne/intel/18.0.5/g/mpiuni/none),2022-03-09 15:43:33.664453
develop,cheyenne,intel,18.0.5,mpt,2.19,O,Linux,4.6.3,4.4.4,fail,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/19f56fa61616b81062fbdb642bc1e7d57aebf338/develop/cheyenne/intel/18.0.5/O/mpt/2.19),2022-03-09 15:43:33.664434
develop,cheyenne,intel,18.0.5,mpt,2.19,g,Linux,4.6.3,4.4.4,fail,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/2c700afbedc9ab2479691008ae892dd213460cce/develop/cheyenne/intel/18.0.5/g/mpt/2.19),2022-03-09 15:43:33.664461
develop,cheyenne,intel,18.0.5,openmpi,3.1.4,O,Linux,4.6.3,4.4.4,fail,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/67a009fcf918c40b198016979bba773f5961bddd/develop/cheyenne/intel/18.0.5/O/openmpi/3.1.4),2022-03-09 15:43:33.664455
develop,cheyenne,intel,18.0.5,openmpi,3.1.4,g,Linux,4.6.3,4.4.4,fail,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/304e8d3051e5278f62637621c36692819b56f069/develop/cheyenne/intel/18.0.5/g/openmpi/3.1.4),2022-03-09 15:43:33.664463
